DEWP,TEMP
-8,-5
-6,-2
-11,1
-11,2
-10,3
-11,4
-15,5
-14,5
-11,3
-7,0
-7,-2
-6,-1
-5,-1
-5,-2
-4,-1
-4,-1
-5,-2
-5,-2
-7,-2
-10,-2
-10,-3
-10,-3
-10,-3
-10,-3
-10,-3
-10,-2
-9,0
-10,1
-11,3
-13,5
-21,5
-21,5
-22,4
-23,4
-22,3
-22,3
-22,3
-18,-1
-23,3
-22,1
-20,-2
-21,2
-17,-1
-17,-4
-16,-5
-16,-8
-17,-6
-16,-5
-15,-1
-19,3
-20,4
-20,5
-21,6
-20,6
-19,6
-18,5
-18,3
-19,3
-16,1
-15,1
-14,1
-12,-2
-11,-2
-9,-2
-8,-2
-8,-2
-8,-2
-7,-2
-7,-3
-7,-3
-7,-2
-7,-3
-7,-2
-6,-2
-6,-1
-7,1
-8,2
-9,3
-9,3
-9,3
-9,1
-9,1
-21,5
-21,3
-21,2
-22,2
-21,1
-19,-1
-20,0
-21,-1
-23,-1
-22,-2
-21,-2
-21,-3
-21,-2
-21,-2
-21,-1
-23,0
-24,1
-25,2
-24,3
-24,4
-25,3
-24,3
-24,2
-24,1
-23,0
-20,0
-20,-1
-20,-1
-20,-1
-20,-2
-20,-3
-22,-2
-22,-6
-22,-4
-22,-6
-21,-5
-22,-5
-21,-5
-20,-3
-21,-1
-23,2
-24,2
-24,4
-25,4
-24,4
-24,3
-23,3
-24,1
-23,1
-20,-1
-19,-1
-18,-4
-18,-5
-18,-6
-19,-6
-18,-8
-18,-8
-18,-9
-18,-9
-17,-9
-19,-10
-18,-9
-16,-5
-18,-2
-20,0
-20,2
-20,3
-21,5
-22,5
-21,5
-21,4
-20,1
-16,-2
-16,-2
-16,-4
-17,-5
-15,-5
-16,-3
-16,-6
-15,-7
-15,-7
-15,-7
-16,-8
-15,-8
-16,-8
-15,-6
-13,-5
-14,-2
-16,0
-15,2
-15,2
-14,2
-14,3
-14,3
-14,1
-12,-1
-12,-4
-11,-3
-12,-5
-11,-4
-11,-3
-11,-3
-12,-3
-11,-3
-11,-3
-12,-2
-12,-3
-12,-3
-12,-3
-12,-3
-12,-1
-13,1
-16,4
-15,5
-16,7
-21,10
-22,10
-23,10
-24,9
-24,9
-25,8
-24,5
-23,4
-23,4
-21,1
-20,1
-19,-1
-17,-1
-17,-1
-17,-1
-15,-2
-19,1
-21,1
-20,0
-21,5
-20,6
-21,6
-22,6
-22,6
-24,6
-24,6
-24,5
-24,4
-23,0
-20,-1
-22,-2
-13,0
-7,0
-7,-1
-8,-2
-9,-3
-9,-5
-8,-3
-9,-2
-9,-2
-10,-3
-12,-5
-12,-6
-11,-3
-10,-1
-11,1
-11,2
-12,2
-12,2
-12,3
-13,3
-13,2
-13,1
-12,0
-12,0
-10,-1
-8,-2
-8,-3
-8,-3
-9,-5
-10,-6
-10,-6
-10,-7
-10,-6
-11,-7
-10,-7
-10,-6
-8,-4
-8,-1
-11,2
-12,3
-12,5
-12,7
-12,7
-12,7
-12,6
-20,8
-27,7
-27,7
-28,5
-28,4
-26,2
-24,2
-21,-1
-21,-3
-21,-4
-21,-5
-22,-5
-21,-4
-22,-3
-21,-4
-19,0
-22,1
-16,2
-16,3
-11,5
-12,5
-11,5
-12,5
-13,4
-14,1
-13,0
-10,1
-8,-1
-8,-2
-8,-3
-9,-4
-9,-5
-8,-4
-9,-5
-10,-6
-10,-7
-10,-7
-10,-7
-10,-7
-7,-3
-7,-2
-7,0
-8,1
-9,2
-9,2
-9,3
-9,3
-9,2
-8,-1
-9,-3
-9,-3
-9,-3
-10,-4
-8,-2
-10,-3
-10,-3
-10,-4
-10,-2
-15,-1
-14,-4
-21,1
-20,0
-19,-2
-23,4
-24,4
-26,5
-27,7
-27,7
-26,8
-26,8
-26,8
-24,7
-24,4
-18,4
-7,2
-6,0
-5,-1
-6,-2
-7,-1
-7,-1
-7,-1
-7,-2
-8,-2
-9,-4
-9,-4
-8,-3
-8,-4
-6,-1
-7,1
-7,2
-7,2
-7,3
-6,3
-5,3
-5,3
-6,2
-7,2
-7,1
-5,2
-5,2
-5,2
-4,2
-5,2
-5,2
-6,2
-5,2
-4,1
-4,1
-5,1
-6,2
-6,2
-7,3
-7,3
-7,3
-4,4
-3,4
-3,4
-2,4
-1,4
-1,4
-1,4
-1,3
-1,3
-1,2
-1,2
-1,2
-1,2
-1,2
-1,2
-1,2
-1,2
-2,2
-2,1
-3,-1
-2,2
-5,5
-10,8
-19,10
-20,10
-21,10
-21,10
-24,9
-24,9
-27,6
-29,4
-33,3
-34,3
-34,2
-33,2
-35,1
-35,1
-34,0
-29,0
-28,0
-21,-1
-31,-2
-35,-3
-33,-4
-33,-3
-32,-2
-32,-1
-33,0
-36,0
-37,1
-36,2
-39,2
-40,2
-38,1
-33,-1
-34,-5
-33,-5
-33,-3
-33,-5
-32,-3
-32,-5
-31,-4
-32,-5
-32,-5
-32,-5
-32,-6
-32,-6
-32,-6
-32,-5
-32,-3
-32,-2
-34,-2
-33,0
-37,1
-38,0
-37,1
-36,0
-33,0
-30,-2
-27,-4
-27,-4
-27,-2
-27,-2
-24,-6
-22,-5
-25,-5
-25,-5
-25,-6
-24,-7
-25,-8
-24,-11
-22,-11
-22,-11
-22,-6
-20,-4
-19,-2
-19,1
-16,1
-14,1
-14,1
-14,1
-13,0
-12,-1
-12,-2
-12,-3
-12,-3
-11,-4
-12,-5
-12,-4
-12,-5
-12,-5
-13,-6
-14,-7
-13,-8
-13,-6
-13,-7
-12,-7
-11,-3
-12,-1
-13,0
-15,1
-15,1
-16,2
-16,2
-15,1
-16,1
-16,0
-14,-1
-14,-1
-12,-1
-8,-2
-6,-1
-7,-2
-7,-2
-7,-2
-8,-2
-10,-3
-11,-3
-10,-3
-8,-4
-7,-5
-7,-5
-7,-5
-7,-4
-7,-4
-6,-3
-7,-4
-6,-3
-7,-3
-6,-3
-7,-3
-7,-3
-7,-3
-6,-4
-6,-4
-6,-4
-6,-4
-6,-4
-6,-4
-6,-4
-7,-4
-7,-4
-6,-4
-7,-4
-7,-5
-7,-5
-6,-3
-8,0
-13,1
-14,0
-14,2
-16,1
-16,2
-17,0
-17,-3
-19,-3
-19,-5
-20,-6
-21,-7
-21,-8
-21,-7
-22,-8
-22,-8
-22,-9
-23,-11
-22,-12
-22,-10
-22,-9
-21,-10
-21,-7
-22,-5
-22,-4
-22,-3
-22,-3
-21,-1
-22,-1
-22,-1
-22,-1
-21,-2
-20,-3
-20,-4
-19,-5
-19,-8
-21,-9
-19,-9
-21,-9
-20,-9
-21,-12
-21,-11
-21,-12
-21,-10
-21,-12
-18,-9
-20,-6
-21,-5
-22,-3
-23,-3
-22,-3
-21,-2
-21,-1
-21,-1
-19,-3
-19,-3
-18,-4
-18,-4
-16,-6
-16,-7
-15,-8
-16,-10
-16,-10
-15,-10
-16,-12
-17,-12
-16,-12
-17,-12
-18,-12
-17,-11
-15,-8
-15,-5
-16,-3
-16,-2
-16,-1
-17,0
-17,1
-17,1
-17,0
-15,-1
-13,-2
-13,-5
-12,-5
-13,-7
-13,-7
-13,-8
-14,-10
-16,-10
-15,-10
-14,-9
-14,-8
-16,-9
-14,-7
-14,-7
-18,-3
-18,0
-22,1
-23,2
-22,4
-21,4
-20,4
-20,3
-19,2
-19,2
-15,1
-15,0
-12,-1
-12,-2
-9,-3
-8,-3
-9,-4
-10,-4
-10,-3
-11,-3
-11,-3
-12,-3
-12,-3
-13,-3
-12,-3
-11,-3
-11,-2
-12,-2
-10,0
-10,0
-10,0
-10,0
-10,0
-11,-1
-11,-2
-10,-3
-10,-3
-10,-2
-10,-3
-10,-4
-10,-5
-11,-7
-11,-7
-11,-8
-11,-8
-11,-8
-11,-9
-10,-7
-8,-4
-7,-2
-7,-1
-8,0
-8,1
-8,2
-9,2
-9,3
-9,2
-8,1
-8,-2
-7,-2
-8,-4
-8,-4
-8,-4
-8,-5
-8,-5
-9,-6
-9,-6
-9,-6
-8,-5
-8,-4
-9,-5
-9,-4
-7,-3
-6,0
-8,1
-8,1
-8,3
-8,3
-8,4
-8,4
-8,3
-8,2
-7,-1
-7,-2
-8,-4
-7,-4
-8,-4
-7,-3
-8,-5
-8,-4
-8,-5
-9,-5
-8,-4
-8,-4
-10,-6
-9,-4
-6,-1
-13,4
-11,3
-15,6
-15,7
-16,7
-15,7
-12,6
-11,5
-8,4
-8,3
-6,3
-6,2
-7,1
-7,1
-7,0
-9,0
-7,0
-8,-2
-9,-3
-10,-3
-9,-3
-10,-2
-9,-1
-10,1
-16,3
-17,3
-17,4
-18,5
-18,5
-19,5
-19,5
-19,4
-18,1
-17,1
-15,1
-14,0
-15,-2
-13,-1
-13,-2
-12,-3
-12,-3
-12,-4
-12,-4
-13,-4
-13,-4
-13,-4
-12,-3
-12,-3
-12,-2
-11,0
-12,1
-12,2
-12,2
-12,2
-12,2
-12,2
-12,0
-11,-1
-10,-2
-11,-1
-11,-1
-11,-2
-11,-2
-11,-3
-11,-3
-11,-5
-11,-5
-12,-7
-11,-6
-12,-8
-10,-7
-8,0
-13,2
-15,3
-17,4
-17,5
-17,5
-18,6
-19,5
-18,5
-17,2
-15,1
-11,-1
-12,-2
-8,0
-9,-2
-7,-2
-7,-3
-7,-4
-7,-4
-6,-3
-6,-3
-5,-2
-5,-2
-5,-2
-5,-1
-6,-1
-6,0
-7,0
-7,1
-7,1
-6,1
-6,0
-5,0
-5,-1
-6,-3
-6,-2
-6,-3
-6,-3
-6,-4
-6,-4
-7,-4
-8,-5
-7,-5
-7,-5
-7,-5
-8,-6
-6,-4
-5,-2
-3,0
-5,1
-5,2
-6,2
-6,3
-6,4
-6,4
-7,4
-7,3
-7,1
-6,1
-7,-2
-6,-1
-7,-2
-6,-1
-5,-1
-6,-2
-5,-1
-5,0
-6,0
-5,1
-6,1
-6,1
-6,2
-6,3
-5,3
-5,5
-5,5
-5,6
-4,6
-4,6
-4,6
-4,5
-4,4
-4,2
-4,3
-2,4
-3,3
-4,2
-4,2
-5,2
-5,2
-5,1
-6,1
-6,1
-6,1
-6,1
-6,1
-6,1
-6,2
-6,2
-6,2
-6,2
-6,2
-6,3
-6,3
-6,3
-5,2
-6,2
-5,1
-5,2
-5,2
-5,2
-5,2
-5,2
-5,2
-5,2
-5,2
-5,2
-5,1
-5,1
-5,2
-5,3
-5,4
-5,5
-5,6
-5,7
-5,7
-5,7
-5,7
-5,7
-5,5
-5,4
-5,3
-5,2
-5,0
-4,0
-4,-1
-5,-1
-5,-2
-5,-2
-5,-2
-5,-2
-5,-2
-4,-1
-4,0
-4,2
-4,3
-4,5
-4,6
-4,7
-5,8
-4,8
-4,8
-4,8
-4,6
-3,4
-5,3
-4,2
-4,1
-4,1
-4,0
-4,1
-4,1
-4,0
-4,1
-4,1
-4,0
-4,0
-3,1
-2,4
-1,5
0,6
0,7
0,8
-1,9
-1,9
0,9
0,9
2,8
2,7
2,8
2,6
2,6
2,6
-9,7
-11,5
-14,4
-15,4
-15,3
-16,3
-17,2
-18,2
-15,3
-18,5
-18,5
-17,6
-18,7
-19,8
-19,7
-19,9
-19,8
-20,7
-19,6
-17,2
-18,3
-16,1
-12,0
-15,0
-12,-2
-14,0
-6,-1
-5,-1
-5,-1
-6,-2
-6,-2
-8,-3
-5,-1
-6,0
-6,2
-6,2
-8,3
-8,5
-8,5
-9,6
-9,6
-9,6
-10,6
-7,4
-7,2
-7,0
-7,0
-6,0
